	Collaborative	Comments	Date	Day	Dogs	Equipment	Month	NoActivity	Other	Other_Activity	PhotoFiles	Power_Boats	Precipation	Precipitation	Ratio	Ratio_LESA	Ratio_WESA	RecordID	Sea_State	Site	SiteID	SiteName	Source	Survey Site	Tide_End	Tide_Start	Tide_State_End	Tide_State_Start	Time_End	Time_Start	Unpowered_Boat	Vis_Reason	Vis_Reason_Other	Visibility	Walkers	Weather	YES_NO_WESA_Obs	Year
26	Single Observer		2013-07-21 00:00:00	21.0	1.0	Both	7.0						None					FANY2013721	Calm		FANY		Manual	Fanny Bay			High-tide	Mid-low 	16:00:00	14:00:00				1km	13.0	Clear	I did not observe any Western Sandpipers during the entire survey	2013.0
27	Single Observer		2013-07-19 00:00:00	19.0			7.0											KENN2013719			KENN		Manual	Kennedy Creek					15:00:00	13:00:00							I did not observe any Western Sandpipers during the entire survey	2013.0
28	Single Observer		2013-07-20 00:00:00	20.0			7.0											KENN2013720			KENN		Manual	Kennedy Creek					15:30:00	13:30:00							I saw at least 1 WESA during the survey	2013.0
29	Single Observer		2013-08-17 00:00:00	17.0			8.0											KENN2013817			KENN		Manual	Kennedy Creek					14:15:00	12:15:00							I saw at least 1 WESA during the survey	2013.0
30	Single Observer		2013-08-18 00:00:00	18.0			8.0											KENN2013818			KENN		Manual	Kennedy Creek					14:15:00	12:15:00							I saw at least 1 WESA during the survey	2013.0
31	Single Observer		2013-08-17 00:00:00	17.0			8.0											BB922013817			BB92		Manual	Boundary Bay 92					16:15:00	13:45:00							I did not observe any Western Sandpipers during the entire survey	2013.0
32	Single Observer		2013-08-18 00:00:00	18.0			8.0											BB922013818			BB92		Manual	Boundary Bay 92					16:30:00	14:00:00							I saw at least 1 WESA during the survey	2013.0
33	Single Observer		2013-08-17 00:00:00	17.0	3.0	Both	8.0						None					BB722013817	Choppy		BB72		Manual	Boundary Bay 72				Mid-low 	15:45:00	13:45:00				1km	2.0	Overcast	I saw at least 1 WESA during the survey	2013.0
34	Collaborative	Recommended to Joan Poor that survey move to interior ponds 1. Much more accessible 2. More shorebirds. Only last count at ponds	2013-07-20 00:00:00	20.0		Both	7.0				Leque 1-9 and Datasheets Leque1-3	4.0	None					EIDE2013720	Calm		EIDE		Manual	Eide Rd				Mid-tide	18:30:00	16:15:00				1km	2.0	Clear	I saw at least 1 WESA during the survey	2013.0
35	Collaborative	Tides don't seem to match tables At 3:15pm there was no mud. Tide table showed high tide at 17:02 for oak harbor. No merlin or falcons observed	2013-07-20 00:00:00	20.0	4.0	Both	7.0					2.0	None					ENBO2013720	Rippled		ENBO		Manual	English Boom					18:00:00	15:15:00				1km	8.0	Clear	I saw at least 1 WESA during the survey	2013.0
36	Collaborative	3 photos of sites a (east to west scan) for each observation period. see dvd.	2013-07-20 00:00:00	20.0	7.0	Both	7.0				ESQLA0900(A)July20,2013 toESQLA1130c()July20,2013		None					ESQU2013720	Calm		ESQU		Manual	Esquimalt Lagoon			Mid-tide	Low-tide	11:30:00	09:00:00				1km	29.0	Clear	I did not observe any Western Sandpipers during the entire survey	2013.0
37	Collaborative	1 Photo each of Site A + B for each observation period. See dvd	2013-07-21 00:00:00	21.0	11.0	Both	7.0				ESQLA1000(A)July21,2013 toESQLA1230c()July21,2013	0.0	None					ESQU2013721	Calm		ESQU		Manual	Esquimalt Lagoon			Mid-high 	Low-tide	12:30:00	10:00:00	5.0			1km	39.0	Clear	I did not observe any Western Sandpipers during the entire survey	2013.0
38			2013-08-17 00:00:00	17.0			8.0											WINT2013817			WINT		Manual	Winter Cove													I did not observe any Western Sandpipers during the entire survey	2013.0
39	Single Observer	"There were neither shorebirds or falcons observed on August 17th at Chemainus ""There was no shorebirds at this site. A list of the birds : 
Canada Goose - 124
Osprey - 2 
Great Blue Heron: 10
Turkey Vulture : 2
Common Raven: 1 
Glaucous-winged Gull - 6
Double-crested Cormorants - 4 (nesting on sewage outfall dolphins as well)
Mew Gull - 4 """	2013-08-17 00:00:00	17.0		Both	8.0						None					CHEM2013817	Rippled		CHEM		Manual	Chemainus River Delta			Mid-tide	Mid-low 	12:15:00	09:30:00				1km		Partly-Cloudy	I did not observe any Western Sandpipers during the entire survey	2013.0
40	Single Observer		2013-08-18 00:00:00	18.0		Both	8.0		First Nations clam diggers (about 20 people) harvesting north of survey area. Occurred from 0600 to 1300.				None					CHEM2013818	Rippled		CHEM		Manual	Chemainus River Delta	1.75	0.7	Mid-low 	Low-tide	12:30:00	10:00:00				1km		Overcast	I saw at least 1 WESA during the survey	2013.0
41																							Manual															
42																							Manual															
43																							Manual															
44																							Manual															
45																							Manual															
46																							Manual															
47																							Manual															
48																							Manual															
49																							Manual															
50																							Manual															
51																							Manual															
52																							Manual															
53																							Manual															
54																							Manual															
55																							Manual															
56																							Manual															
57																							Manual															
58																							Manual															
59																							Manual															
60																							Manual															
61																							Manual															
62																							Manual															
63																							Manual															
64																							Manual															
65																							Manual															
66																							Manual															
67																							Manual															
68																							Manual															
69																							Manual															
70																							Manual															
71																							Manual															
72																							Manual															
73																							Manual															
74																							Manual															
75																							Manual															
76																							Manual															
77																							Manual															
78																							Manual															
79																							Manual															
80																							Manual															
81																							Manual															
82																							Manual															
83																							Manual															
84																							Manual															
85																							Manual															
86																							Manual															
87																							Manual															
88																							Manual															
89																							Manual															
90																							Manual															
91		"The time span for the survey was 1400 - 1630 at 15 minute intervals. This makes 11 counts. The data entry form only allows 9 counts to be entered, therefore potentially missing counts when birds maybe closest and easiest to count.

As a result, I have not been able to enter my 1615 and 1630 counts. These are, however, also 0 counts, but there is some WESA activity to note.

Estimating the tideline position is very difficult. The tide is so far out at the beginning of the count period (1km+) that it's pure guesswork.

In addition, even with a scope, peeps at that range would be very difficult to identify. Compounding this problem is that the mudflats were very hazy with lots of shimmer on Saturday. This is a common condition with this location at this time of day and season.

Given the extreme distance of the tide, and the haze and shimmer at this location, I suggest that I start the Sunday count at 15:30, instead of 14:30 and go to 17:00. Prior to that time, peeps would only be identifiable and easily counted by walking out on the mudflats. This of course would violate the stationary protocol."			5	Spotting scope				Motorcycle ridden on mudflats from 1530 to 1630	"1697 to 1702 1400hrs

1712 to 1723 1600hrs"							BB722013720	Rippled	Boundary Bay 72	BB72		Online		High tide	Mid low		Mid-low	1630	1400				1km	10	Clear		
92		It was a challenging site because most of the time the sandpipers were very distant. At the very end of the survey period, I got lucky and had a single sandpiper in very close to me (10m or so). Otherwise, I could only see the sandpipers when they were airborne. Even my spotting scope was not powerful enough at such great range to make them visible.			2	Spotting scope				"Small planes: 5
Helicopter: 1 (med-evac)"	http://www.flickr.com/photos/67331192@N04/9340725806/	5		None				ENBO2013721	Calm	English Boom	ENBO		Online		high tide	tide coming in	High-tide	Mid-tide	3:15 PM	1:15 PM				1km	17	Clear		
93		Observed count area for 2.5 hrs on July 20 and 21 and saw no sandpipers. 				Binoculars-only		No activity						None				KALE2013720	Rippled	kaleva rd	KALE		Online		low	low	Mid-low	Low-tide	930	700				1km		Overcast		
94		"No WESA observed.
No Facons observed
No Merlin observed"			2	Binoculars-only								None				COMX2013720	Rippled	Comox2	COMX		Online		4.9	2.2	Mid-low	Low-tide	1230	1000 local	2 kayaks			1km	4	Clear		
95		There were no WESA, Falcons or Merlins observed during the last two days			3	Binoculars-only				3 kayaks				None				COMX2013721	Choppy	Comox2	COMX		Online		5.3	1.7	Mid-low	Low-tide	1330	1100 local	sailboat			1km	12	Clear		
96						Spotting scope				possibly 30 people digging clams	IIMG_6446, 6447, 6448, 6449, 6450			None				NANO2013720	Rippled	Nanoose Bay	NANO		Online		mid	low	Mid-tide	Low-tide	13:30	11:00				1km		Clear		
97		No Sandpipers on either day so I see no point in going out on Monday				Spotting scope				Possibly 40 people digging for clams but in a couple of groups, Not wide spread				None				NANO2013721	Rippled	Nanoose Bay	NANO		Online				Mid-low	Mid-low	14:00	12:00				1km		Clear		
98		Nine peeps flew by but none were seen on the mudflat. Flocks of Canada Geese, Ring-billed Gulls, Mallards and Great Blue Herons present. One Spotted Sandpiper flew to ponds. My observation point was where the start of the south jetty.  			0	Binoculars-only				Bikes 5		0		None				IONA2013719	Rippled	Iona	IONA		Online		High	Mid	High-tide	Mid-tide	1430	1330	0			1km	30	Clear		
99		No falcons seen			0	Binoculars-only				Bikes - 15		0		None				IONA2013720		Iona	IONA		Online		high	mid	High-tide	Mid-tide	1500	1345	0			1km	100	Clear		
100		No peeps present except a few in flight. No falcons seen. Seems odd when the mudflat is so open and other species of birds were present. 			0	Binoculars-only				Bikes - 30		0		None				IONA2013721	Choppy	Iona	IONA		Online		high	mid	High-tide	Mid-high	1545	1345	0			1km	100	Clear		
101		No shorebirds or raptors				Spotting scope		No activity						None				COWC2013719	Calm	Cowichan Estuary	COWC		Online		mid-high	low-tide	Mid-high	Low-tide	12:45	11am				1km		Clear		
102		No shorebirds or raptors. Unable to observe on Sunday due to unexpected visitors and on Monday as we volunteer at Providence farm that day						No activity						None				COWC2013720	Calm	Cowichan Estuary	COWC		Online		mid-high	mid-low	Mid-high	Mid-low	2pm	12:30				1km		Clear		
103		"For the third day in a row we did not see any of the subject birds.  Alas, today's observations were cut short by the arrival of heavy fog.

 Data sheets and site photos will be sent by mail."				Spotting scope		No activity			ESQ LA 1100(A) JULY 22, 2013 to ESQ LA 1130(B) JULY 22, 2013 on DVD to accompany hard copies.			None				ESQU2013722	Calm	Esquimalt Lagoon	ESQU		Online		mid-low (0.61 m)	low tide (0.41 M)	Mid-low	Low-tide	1145	1100		Weather	fog rolled in at 1130	1km		Clear		
104					0	Spotting scope				---	DSCN8513 to DSCN851	5		None				MAPL2013719		Maplewood	MAPL		Online		Mid-high	Low tide	Mid-high	Low-tide	12:50	10:20	0	Glare		1km	1	Clear		
105					0	Spotting scope				---		13		None				MAPL2013720	Calm	Maplewood	MAPL		Online		Mid-high	Low tide	Mid-high	Mid-low	14:00	11:30	0	Glare		1km	2	Clear		
106		"It would be easier to enter data if there was a line where ""no WESA during entire Survey"" or ""no PEFA/MERL during entire Survey"" could be entered. I am not sure if I have to repeat numbers for each 15 min cycle when the number is 0 every time."			0	Spotting scope				Glare on all days due to facing sun during surveys		30		None				MAPL2013721	Rippled	Maplewood	MAPL		Online		Mid-high	Low tide	Mid-high	Low-tide	14:45	12:17	0	Glare		1km	4	Clear		
107		Because Island View Beach is very popular for walkers, many with dogs, we counted people and dogs every twenty minutes.  The numbers given are an average at any one time.  Most people tended to stroll along the beach at the water's edge.  On occasion dogs were observed chasing birds, usually gulls, at the water's edge. 			6 average at any time	Spotting scope						2		None				ISVI2013720	Rippled	Islandview Beach	ISVI		Online		low tide	low tide	Low-tide	Low-tide	09:10	07:10				1km	12 average at any time	Clear		
108		"No Falcon's observed.  
We observed continuously during the two hour sampling period but only saw the one flock of Western Sandpipers and no Falcons.

The number of dogs and walkers were counted every twenty minutes. The numbers given are an average seen at any time."			18 average at any time	Spotting scope				"2 horses (with riders).

Unpowered boats = 5 kayaks and two 6 person war canoes from the adjacent reserve.

Powered boats were near shore, others further offshore (1 km +) were not reported."		4		None				ISVI2013721	Rippled	Island View Beach	ISVI		Online		low tide	low tide	Low-tide	Low-tide	11:00	09:00	7			1km	36 average at any time	Clear		
109		No falcons were seen either day.				Spotting scope		No activity			1. From viewing area looking north; 2. From viewing area looking south.			None				CROC2013720		Crockett Lake, WA	CROC		Online			no tide - on lake				11:15		Other	heat waves in air	100m		Overcast		
110					1 off leash	Spotting scope				"many powered and unpowered boats in the distance going in and out of Crescent beach marina - too far away for accurate count
many planes - small and large - did detailed count on other days
ponding water on mudflat
no birds at all on the mudflat!  Only saw 2 herons and 2 caspian turns fly over the site in the 2.5 hours!"	"photo # 257 - looking west from the center of the site (my survey location) at start of survey (13:30)
photo # 258 - looking south from the center of the site at 13:30"	see below		None				BB042013719	Rippled	Boundary Bay 104	BB04		Online		3.8m	2.8m	High-tide	Mid-high	16:00	13:30	see below	Glare	heat haze and low mist	500m	2	Clear		
111		The PEFA flew by very close to shore, following the dyke going east to west.				Spotting scope		No activity		"powered and unpowered boats in distance going in and out of Crescent beach marina
planes flying over Boundary Bay - 19 jets and 37 small planes (7 of which flew very low from the 2 local airports)
no shorebirds - birds flying over were 4 herons, 2 eagles and 8 seagulls
1 eagle and 1 seagull landed"				None				BB042013720		Boundary Bay 104	BB04		Online		3.85m	2.5m	High-tide	Mid-high	14:30	14:00		Glare	heat haze	1km		Clear		
112						Spotting scope				"many powered and unpowered boats in and out of Crescent beach marina
planes flying over Boundary Bay - jets - 32, small planes - 32 (4 very low from the local airports), helicopter - 1
birds flying by - 4 herons, 3 eagles and 5 gulls
1 osprey landed on the mudflat and ate a fish"	photo # 267 - taken from 104th St looking east at 1700 (high tide)			None				BB042013721	Wavy	Boundary Bay 104	BB04		Online		3.9m	2.3m	High-tide	Mid-tide	17:00	14:30		Glare	heat haze/fog	1km	1	Clear		
113		Access to observation site through vacant lot west of 5453 Deep Bay Rd., then walk approx. 300 m west to outermost point.			1	Spotting scope					DB1 to DB6	16		None				DEEP2013719	Rippled	Deep Bay	DEEP		Online		2m	0.8m	Mid-low	Low-tide	12:35	10:00	8			500m	9	Clear		
114		"Observation point coordinates:

49o28.6'N  124o44'W

10 373767E
5482816N"			3	Spotting scope						41		None				DEEP2013720	Rippled	Deep Bay	DEEP		Online		1.8m	0.7m	Mid-low	Low-tide	13:15	10:45	7			1km	8	Clear		
115					7	Spotting scope				8 of above walkers walked out to waters edge with inflatable toys and/or to sunbathe - were still there when we left.		20		None				DEEP2013721	Rippled	Deep Bay	DEEP		Online		2.3m	0.7m	Mid-tide	Low-tide	14:30	12:00	4		heat distortion >3-400m 	1km	24	Clear		
116		"After the survey time period I walked the entire Spit and found 2 WESAs. They were in the survey area.

The survey data entry area didn't allow me to input the final  observation set. Time:1130, Count:0, Distance:15m

No Falcon sightings"			25	Spotting scope						20		None				WHIF2013721	Rippled	Whiffen Spit, Sooke	WHIF		Online		Mid-tide	Low-tide	Mid-tide	Low-tide	1130	900				1km	50	Partly-Cloudy		
117		"There are only 9 opportunities to enter 11 observations.

Therefore the final two counts are not entered.

Re Visibility
At the start of the count period there was an intermittent, ground-level, wind-blown fog approx 1 m above the mudflats. I don't think I missed anything due to this, but visibility would change from 1km plus to <500m in a matter of minutes."			6	Spotting scope				5 Picnicers on mudflats for approx 2 hrs	"TideProgressionFRD72Jul21/13.pdf
IMG_1712 to 1722 panorama of site from NE through S to N"			None				BB722013721	Rippled	FRD72nd	BB72		Online		High tide	mid low	High-tide	Mid-low	1700	1430		Other	See note in comments	1km	20	Clear		
118		"Often we found that some areas had spread out individuals while other areas were more dense and harder to count.  

We greatly enjoyed working with you on the project.  "				Spotting scope				A few other birders joined us at the survey site to look for the Buff-breasted Sandpiper.  Did not disturb the birds.	Photos and maps sent by e-mail.			None				CROC2013721		Crockett Lake, WA	CROC		Online			no tide - on lake				11:15		Other	good at start, heat waves forming by noon	250m		Overcast		
119					1	Binoculars-only						5		None				WINT2013720	Rippled	Winter Cove, Saturna Island	WINT		Online		3.5 m	3.3 m	High-tide	Mid-high	7:00 pm	5:00 pm	2			1km	5	Clear		
120		I wonder if the Squamish Estuary site is suboptimal for sandpipers due to heavy recreational traffic and high winds. 				Binoculars-only				15+ kitesurfers and windsurfers out at any one time during the survey 	Squamish Estuary July 20	1		None				SQUA2013720	Wavy	Squamish Estuary	SQUA		Online						12:30 pm	10 am				100m		Partly-Cloudy		
121		As mentioned on the July 20 data form, I observed no sandpipers.			0	Binoculars-only				20+ kitesurfers and windsurfers out at any one time at the southern end of the Spit.	Squamish Estuary July 21	0		None				SQUA2013721	Choppy	Squamish Estuary	SQUA		Online						1:30 pm	11:00 am	0			100m	0	Clear		
122		"I don't think Ship's Point is conducive to shorebird counts due to intensity of shellfish farming activity.
No WESA seen.  No falcons seen.  Area too remote from perch area for falcons to observe any falcon activity."				Binoculars-only				12 oyster farm workers on beach attending to nets and collecting oysters.  Site covered with oyster netting and many barges and boats working in bay.		10		None				SHPO2013720	Rippled	Ship's Point	SHPO		Online				Mid-low	Low-tide	1230	1000	6			1km		Clear		
123		same as July 20, 2013.				Binoculars-only				Intensive shellfish farming on shoreline. No WESA observed during entire period.		10		None				SHPO2013721	Rippled	Ship's Point	SHPO		Online				Mid-low	Low-tide	1330	1100	6			1km		Clear		
124		same as July 20 and 21				Binoculars-only				same as July 20 and 21		7		None				SHPO2013722	Rippled	Ship's Point	SHPO		Online				Mid-low	Low-tide	1430	1200	5			1km		Clear		
125						Spotting scope				Bicycles: 12				None				SANM2013720	Rippled	San Malo Bay	SANM		Online		Low-tide	Low-tide	Low-tide	Low-tide	13:30	11:30		Glare		500m	9	Clear		
126					3	Spotting scope				Bicycles: 5				None				SANM2013721	Rippled	San Malo Bay	SANM		Online		Low-tide	Low-tide	Low-tide	Low-tide	14:30	12:30		Glare	Thermal Haze	500m	13	Clear		
127		Whiffen spit is a tricky site to find a good spot from which to observe the many potential siting areas. It almost needs more than one observer, however with the very consistent data collected over the July weekend, I believe, at least at this time of year, that is is not an area visited by flocks of any significant number. 			5 approximately 	Binoculars-only						A few fishing boats		None				WHIF2013720	Rippled	Whiffen Spit, Sooke	WHIF		Online		Mid to high	Mid-low	Mid-high	Mid-low	10:30am	8:30am				1km	15	Fog		
128		"The Eide Road Ponds are used by shorebirds at high tide. these ponds are not tidal. 
There were greater yellowlegs and least sandpipers on the pond when I did my study, but no western sandpipers and no falcons. Three northern harriers were flying around and there was a perched bald eagle, but they didn't disturb the shorebirds."				Spotting scope		No activity			Photo of Eide Rd Ponds sent to Karen and David			None				EIDE2013721	Rippled	Eide Rd Ponds	EIDE		Online						1500	1300				1km		Clear		
129		I was not able to enter the counts for 1015 and 1030. No WESA were observed on these counts. Tide distances were 175 metres for 1015 and 150 metres for 1030. 			1	Spotting scope				There is a marina at the point just beyond low tide.		0		None				PEDD2013720	Calm	Pedder Bay	PEDD		Online		Mid-low	Low tide	Mid-low	Low-tide	1040	800	0			1km	0	Clear		
130		Could not enter 1115 and 1130 counts. No birds observed. Tide at 1115 was 200 metres and tide at 1130 was 150 metres.				Spotting scope		No activity						None				PEDD2013721	Calm	Pedder Bay	PEDD		Online		mid-low	low tide	Mid-low	Low-tide	1130	900				1km		Clear		
131		"You seem to be missing two time sheets for a 2.5 hr survey.
I will provide a scan of the map showing the area observed, photos of the area observed, and photos of the birds in the lagoon. I have not named them yet and do not want to lose this file so I will provide the info when I send them."			5	Binoculars-only						0		None				ALHE2013719	Calm	Albert Head Lagoon outflow	ALHE		Online		Mid	Low	Mid-tide	Low-tide	10:30	08:00	0			1km	6	Clear		
132		Had to add last 2 samples to the comments.			4	Binoculars-only								None				ALHE2013720	Calm	Albert Head Lagoon outflow	ALHE		Online		Mid	Low	Mid-tide	Low-tide	11:30	9:00				1km	15	Clear		
133		Had to submit last 2 surveys in comments at end; not enough forms came up for 2.5 hr survey.			4	Binoculars-only								None				ALHE2013720	Calm	Albert Head Lagoon outflow	ALHE		Online		Mid	Low	Mid-tide	Low-tide	11:30	9:00				1km	15	Clear		
134		"No falcons seen in any survey. I did see bald eagles and an osprey. I also saw kildeers and spotted sandpipers. If you want these observations to be added, let me know.

If you want photos to (try to) confirm the sandpipers along the lagoon shore, on all 3 days, let me know."			10	Binoculars-only								None				ALHE2013721	Calm	Albert Head Lagoon outflow	ALHE		Online		Mid	Low	Mid-high	Low-tide	12:30	10:00	1			1km	20	Clear		
135		There was good visibility and no shorebirds or bird hunting raptors were observed. 				Spotting scope				5 First Nation clam diggers	Will send photos in Dropbox			None				CHEM2013720	Rippled	Chemainus Estuary	CHEM		Online		high incoming ca. 3.0 ft. 	mid incoming ca 1.4 ft.	Mid-low	Mid-high	1405	1130				1km		Clear		
